epoch,train_loss,val_mae,val_mse,val_spearman
1,0.06541274049998941,0.07995674759149551,0.0080656623467803,0.0642418199
2,0.007023799149235626,0.05923546850681305,0.00583234615623951,-0.1065659359
3,0.006685603818841687,0.06115606799721718,0.005766823422163725,-0.1148456318
4,0.0066816882870292,0.060861993581056595,0.005763898603618145,-0.0954363372
5,0.006685521264265335,0.06039027124643326,0.005767790134996176,-0.0696085196
6,0.006688257233894916,0.06073261797428131,0.005764405708760023,-0.0681051404
7,0.006704364878100318,0.06054161116480827,0.005766017362475395,-0.0564066535
8,0.006679125857462437,0.06063379347324371,0.005765686742961407,-0.0547452911
9,0.00666775224756306,0.060339342802762985,0.005770015064626932,-0.0552096846
10,0.00668433521257181,0.06089172512292862,0.005765900015830994,-0.049942543
11,0.006668603914217027,0.06126753240823746,0.00577097712084651,-0.056499194
12,0.00672841294978293,0.059732504189014435,0.005793562158942223,-0.0546129216
13,0.006675450231408568,0.06105733662843704,0.005768044386059046,-0.0562012029
14,0.006677709997347102,0.06078866496682167,0.005766766611486673,-0.0549635416
15,0.006661052598994009,0.06140540540218353,0.005775275640189648,-0.0548390943
16,0.006686904383739372,0.060188304632902145,0.0057766311801970005,-0.0548000891
17,0.006671142731591095,0.06087128818035126,0.005768772680312395,-0.0545358779
18,0.0066693841298946,0.06171213462948799,0.005786287598311901,-0.0506822475
19,0.006695307849202363,0.06001996621489525,0.005783644039183855,-0.0506324275
20,0.006684105132418905,0.06141192466020584,0.005778071004897356,-0.050411582
21,0.006693798666522456,0.06254720687866211,0.005828576162457466,-0.052314917
22,0.006705108775248496,0.061883844435214996,0.005794951226562262,-0.0496454903
23,0.0067133638461674945,0.06058020517230034,0.00577172078192234,-0.0485486955
24,0.006686745689728776,0.06038403883576393,0.005775421857833862,-0.0490826952
25,0.00665246741941548,0.06086066737771034,0.0057726227678358555,-0.0492127269
26,0.00666070026196814,0.06090309098362923,0.005773960147053003,-0.0521454068
27,0.006665855727938784,0.061281029134988785,0.005779386963695288,-0.050888138
28,0.0066627593711781315,0.06235290318727493,0.005821112543344498,-0.0518058388
29,0.006677357064991774,0.06115874648094177,0.0057790460996329784,-0.0515878532
30,0.006661309241290516,0.05941632390022278,0.005833106115460396,-0.0536074153
31,0.006732960760572057,0.05900212377309799,0.005877260584384203,-0.0468523552
32,0.00672130402708449,0.05995061993598938,0.00579568138346076,-0.0474943817
33,0.006653158165389378,0.06030624359846115,0.005784557666629553,-0.0482960105
34,0.006627286084524122,0.06223181262612343,0.005817919969558716,-0.0473523587
35,0.0066583118509016105,0.0620453879237175,0.005815782118588686,-0.0473151781
36,0.006636406058547782,0.06010056659579277,0.005794686730951071,-0.0443383318
37,0.006636231158685357,0.0614151768386364,0.005791160278022289,-0.0416385196
38,0.006610712294682653,0.06106064096093178,0.0057797483168542385,-0.0366373777
