epoch,train_loss,val_mae,val_mse,val_spearman
1,0.05794515456095869,0.05831475183367729,0.00594813609495759,0.1454269343
2,0.0070636836784441,0.06112148240208626,0.005746825132519007,0.1151661026
3,0.006680276640271349,0.06025483086705208,0.005741009023040533,0.1327940106
4,0.006692779907364822,0.060499608516693115,0.005733342841267586,0.1426115576
5,0.0066654613992103194,0.06050354987382889,0.0057284040376544,0.1512073079
6,0.006674051119653809,0.05952456593513489,0.005759894382208586,0.1469382568
7,0.006662540276207634,0.06037326157093048,0.005718061700463295,0.1465928373
8,0.0066553541363036164,0.060373395681381226,0.005705120507627726,0.1453039758
9,0.0066392385720425605,0.05994497984647751,0.005694597959518433,0.1511710051
10,0.006582606330790071,0.059939995408058167,0.005595635622739792,0.2555394493
11,0.006302424718722713,0.0574931800365448,0.005161371547728777,0.3699259715
12,0.005767458798493473,0.054438356310129166,0.0045813764445483685,0.4248477606
13,0.005058387063392556,0.04968421906232834,0.004154304042458534,0.4349292817
14,0.004761710797444544,0.04864274337887764,0.0037770126946270466,0.5276138451
15,0.004363173326587245,0.04445498064160347,0.003574776230379939,0.5382481666
16,0.004110489319971809,0.04859029874205589,0.0036299009807407856,0.5671092489
17,0.004025864076494017,0.043362658470869064,0.0034296431113034487,0.5618312113
18,0.003915884909359242,0.04305659607052803,0.0034976000897586346,0.5564328435
19,0.0039043899558417433,0.04324512928724289,0.003201876999810338,0.5897530819
20,0.0038046304085362476,0.044093113392591476,0.0032986567821353674,0.5781407237
21,0.0036172473978214608,0.04174698889255524,0.0031305712182074785,0.598294038
22,0.0035966350229794156,0.04095624014735222,0.0030546432826668024,0.6023315527
23,0.0035041631675187274,0.04020560160279274,0.003018022049218416,0.6085935917
24,0.0035461482193769487,0.04133135825395584,0.00295887584798038,0.6187100065
25,0.003473789765240959,0.04112901911139488,0.002967221662402153,0.6220136968
26,0.0034010838509371762,0.04237629100680351,0.003019933123141527,0.5944619301
27,0.003412748300610568,0.039874956011772156,0.0030148515943437815,0.6053630724
28,0.0033424474396395827,0.04107829928398132,0.003002230543643236,0.6023903433
29,0.0032990292071446436,0.04011792689561844,0.0029616239480674267,0.6071183297
30,0.0032416997139130847,0.04156514257192612,0.002972360933199525,0.6112476253
31,0.003198539546441461,0.03879503160715103,0.0028515018057078123,0.6419957149
32,0.003019417149364112,0.04210130125284195,0.0029246623162180185,0.6375267876
33,0.0029478380192463254,0.04028962552547455,0.0028878820594400167,0.6214723819
34,0.0028653719548645514,0.039949607104063034,0.0028015817515552044,0.6340033729
35,0.0028522779752617054,0.04178975895047188,0.0029382463544607162,0.6361585328
36,0.0027747777016813593,0.04305613785982132,0.003271177178248763,0.61408797
37,0.0028052200869974407,0.0410156324505806,0.002996778814122081,0.616510225
38,0.0025472912758536925,0.04006744176149368,0.002828216878697276,0.6418142678
39,0.002519450219364091,0.04113433137536049,0.003041213611140847,0.6298679444
40,0.002457449948918578,0.03989829868078232,0.002820169785991311,0.6821813788
41,0.0024553287966824445,0.041624654084444046,0.003037016373127699,0.626338397
