epoch,train_loss,val_mae,val_mse,val_spearman
1,0.07575630191957652,0.06016168370842934,0.005769986659288406,0.0216101341
2,0.0070203432148165336,0.05968363583087921,0.005791570525616407,-0.0546331452
3,0.0066929354246959005,0.060418080538511276,0.005765800829976797,-0.05000049
4,0.006670591756465016,0.06066145375370979,0.005763646215200424,-0.0524793231
5,0.006671512141147968,0.060892511159181595,0.00576438196003437,-0.0706341911
6,0.006666581407662277,0.06034153327345848,0.005769241135567427,-0.0489728583
7,0.006681601246124794,0.061114538460969925,0.005768144503235817,-0.0441875675
8,0.006698494347271545,0.0604851134121418,0.005768022499978542,-0.0365984839
9,0.006681804617685338,0.06085176393389702,0.005766942631453276,-0.0306506337
10,0.00668866208100037,0.05976306274533272,0.005792733281850815,-0.0315099563
11,0.006724647242296716,0.06074811518192291,0.005768063943833113,-0.0248917916
12,0.006680872215241817,0.0609782375395298,0.005769808776676655,-0.0292560443
13,0.006656110563592331,0.06054959446191788,0.005770780146121979,-0.0207270909
14,0.006672390134635943,0.05957755446434021,0.005808289162814617,-0.0254468459
15,0.006675155755753319,0.06066714972257614,0.005771892610937357,-0.0214274498
16,0.006665005522149323,0.059042006731033325,0.005866318009793758,-0.0245269291
17,0.006692608708575258,0.06137096881866455,0.00578286312520504,-0.0296793842
18,0.00667031170277079,0.06147632747888565,0.00578684126958251,-0.025550621
19,0.006651680799465044,0.06148659065365791,0.005789090879261494,-0.0220548918
20,0.006676453480727354,0.06174161285161972,0.005797752179205418,-0.0136809784
21,0.006663546472521656,0.060282785445451736,0.005786877125501633,-0.0107500481
22,0.006693583936411445,0.06022389605641365,0.005790757481008768,-0.0084381374
23,0.0066573485651226635,0.061867568641901016,0.005808623507618904,-0.0018761833
24,0.0066928479103119795,0.062331702560186386,0.005830266047269106,0.0034440053
25,0.006697197456178266,0.06181125342845917,0.005804658401757479,0.005955518
26,0.006667327297123776,0.06027206778526306,0.005780641455203295,0.02648727
27,0.006647844443324249,0.0606059767305851,0.005780989304184914,0.0128985951
